,Watershed_ID,Area,State(s),District(s),No. of Village(s)
53,4D7G4j6,1095.26,MAHARASHTRA,PUNE,PUNE
54,4D7G4k1,782.258,MAHARASHTRA,PUNE,PUNE
55,4D7G4k2,889.64,MAHARASHTRA,PUNE,PUNE
56,4D7G4k3,985.154,MAHARASHTRA,PUNE,PUNE
57,4D7G4k4,675.94,MAHARASHTRA,PUNE,PUNE
58,4D7G4k5,1095.62,MAHARASHTRA,PUNE,PUNE
59,4D7G4m1,1015.75,MAHARASHTRA,PUNE,PUNE
60,4D7G4m2,1451.47,MAHARASHTRA,PUNE,PUNE
61,4D7G4m3,1043.15,MAHARASHTRA,PUNE,PUNE
62,4D7G4m4,897.979,MAHARASHTRA,PUNE,PUNE
63,4D7G4m5,1090.16,MAHARASHTRA,"PUNE,THANE","PUNE,THANE"
64,4D7G4n1,912.327,MAHARASHTRA,PUNE,PUNE
65,4D7G4n2,1099.69,MAHARASHTRA,PUNE,PUNE
66,4D7G4n3,922.921,MAHARASHTRA,PUNE,PUNE
67,4D7G4n4,1144.21,MAHARASHTRA,PUNE,PUNE
68,4D7G4p1,838.627,MAHARASHTRA,PUNE,PUNE
69,4D7G4p2,674.863,MAHARASHTRA,PUNE,PUNE
70,4D7G4p3,871.818,MAHARASHTRA,PUNE,PUNE
71,4D7G4q1,739.69,MAHARASHTRA,PUNE,PUNE
72,4D7G4q2,639.192,MAHARASHTRA,PUNE,PUNE
73,4D7G4q3,739.103,MAHARASHTRA,PUNE,PUNE
74,4D7G4q4,885.009,MAHARASHTRA,PUNE,PUNE
75,4D7G4q5,908.038,MAHARASHTRA,PUNE,PUNE
76,4D7G4q6,716.788,MAHARASHTRA,PUNE,PUNE
77,4D7G4r1,728.164,MAHARASHTRA,PUNE,PUNE
78,4D7G4r2,909.414,MAHARASHTRA,PUNE,PUNE
79,4D7G4r3,830.301,MAHARASHTRA,"PUNE,THANE","PUNE,THANE"
80,4D7G4r4,982.81,MAHARASHTRA,PUNE,PUNE
